USP Category,USP Class,Example Drugs,Pharmacotherapeutic Group (informational),Combination Drug Product
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Celecoxib ,,no
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Diclofenac,,no
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Diclofenac Epolamine,,no
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Diclofenac Potassium,,no
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Diclofenac Sodium,,no
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Diclofenac Sodium/ Misoprostol ,,yes
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Diflunisal ,,no
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Etodolac ,,no
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Fenoprofen Calcium,,no
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Flurbiprofen ,,no
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Ibuprofen ,,no
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Ibuprofen/ Famotidine ,,yes
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Indomethacin ,,no
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Ketoprofen ,,no
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Ketorolac Tromethamine,,no
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Meclofenamate Sodium,,no
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Mefenamic Acid ,,no
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Meloxicam ,,no
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Nabumetone ,,no
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Naproxen ,,no
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Naproxen Sodium,,no
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Naproxen/ Esomeprazole Magnesium ,,yes
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Oxaprozin ,,no
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Piroxicam ,,no
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Sulindac ,,no
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Tolmetin Sodium,,no
Analgesics,"Opioid Analgesics, Long-acting ",Buprenorphine,,no
Analgesics,"Opioid Analgesics, Long-acting ",Fentanyl,,no
Analgesics,"Opioid Analgesics, Long-acting ",Hydrocodone Bitartrate,,no
Analgesics,"Opioid Analgesics, Long-acting ",Hydromorphone Hydrochloride,,no
Analgesics,"Opioid Analgesics, Long-acting ",Levorphanol Tartrate,,no
Analgesics,"Opioid Analgesics, Long-acting ",Methadone Hydrochloride,,no
Analgesics,"Opioid Analgesics, Long-acting ",Morphine Sulfate,,no
Analgesics,"Opioid Analgesics, Long-acting ",Oxycodone Hydrochloride,,no
Analgesics,"Opioid Analgesics, Long-acting ",Oxymorphone Hydrochloride,,no
Analgesics,"Opioid Analgesics, Long-acting ",Tapentadol Hydrochloride,,no
Analgesics,"Opioid Analgesics, Long-acting ",Tramadol Hydrochloride,,no
Analgesics,"Opioid Analgesics, Short-acting",Butorphanol Tartrate,,no
Analgesics,"Opioid Analgesics, Short-acting",Codeine Sulfate,,no
Analgesics,"Opioid Analgesics, Short-acting",Fentanyl Citrate,,no
Analgesics,"Opioid Analgesics, Short-acting",Hydromorphone Hydrochloride,,no
Analgesics,"Opioid Analgesics, Short-acting",Meperidine Hydrochloride,,no
Analgesics,"Opioid Analgesics, Short-acting",Morphine Sulfate,,no
Analgesics,"Opioid Analgesics, Short-acting",Nalbuphine Hydrochloride,,no
Analgesics,"Opioid Analgesics, Short-acting",Oliceridine,,no
Analgesics,"Opioid Analgesics, Short-acting",Oxycodone Hydrochloride,,no
Analgesics,"Opioid Analgesics, Short-acting",Oxymorphone Hydrochloride,,no
Analgesics,"Opioid Analgesics, Short-acting",Tapentadol Hydrochloride,,no
Analgesics,"Opioid Analgesics, Short-acting",Tramadol Hydrochloride,,no
Analgesics,Analgesics Combinations,Acetaminophen/ Codeine Phosphate ,,yes
Analgesics,Analgesics Combinations,Benzhydrocodone/ Acetaminophen ,,yes
Analgesics,Analgesics Combinations,Hydrocodone Bitartrate/ Acetaminophen ,,yes
Analgesics,Analgesics Combinations,Hydrocodone Bitartrate/ Ibuprofen ,,yes
Analgesics,Analgesics Combinations,Oxycodone Hydrochloride/ Acetaminophen ,,yes
Analgesics,Analgesics Combinations,Oxycodone Hydrochloride/ Aspirin ,,yes
Analgesics,Analgesics Combinations,Oxycodone Hydrochloride/ Ibuprofen ,,yes
Analgesics,Analgesics Combinations,Pentazocine Lactate/ Naloxone,,yes
Analgesics,Analgesics Combinations,Tramadol Hydrochloride/ Acetaminophen ,,yes
Analgesics,Analgesics Combinations,Butalbital/ Acetaminophen ,,yes
Analgesics,Analgesics Combinations,Butalbital/ Acetaminophen/ Caffeine ,,yes
Analgesics,Analgesics Combinations,Butalbital/ Acetaminophen/ Caffeine/ Codeine Phosphate ,,yes
Analgesics,Analgesics Combinations,Butalbital/ Aspirin/ Caffeine ,,yes
Analgesics,Analgesics Combinations,Butalbital/ Aspirin/ Caffeine/ Codeine ,,yes
Anesthetics,Local Anesthetics,Bupivacaine Hydrochloride,,no
Anesthetics,Local Anesthetics,Lidocaine Hydrochloride,,no
Anesthetics,Local Anesthetics,Lidocaine/ Epinephrine ,,yes
Anesthetics,Local Anesthetics,Lidocaine/ Prilocaine ,,yes
Anesthetics,Local Anesthetics,Lidocaine/ Tetracaine ,,yes
Anti-Addiction/ Substance Abuse Treatment Agents,Alcohol Deterrents/Anti-craving,Acamprosate Calcium,,no
Anti-Addiction/ Substance Abuse Treatment Agents,Alcohol Deterrents/Anti-craving,Disulfiram ,,no
Anti-Addiction/ Substance Abuse Treatment Agents,Alcohol Deterrents/Anti-craving,Naltrexone,,no
Anti-Addiction/ Substance Abuse Treatment Agents,Alcohol Deterrents/Anti-craving,Naltrexone Hydrochloride,,no
Anti-Addiction/ Substance Abuse Treatment Agents,Opioid Dependence ,Buprenorphine ,,no
Anti-Addiction/ Substance Abuse Treatment Agents,Opioid Dependence ,Buprenorphine/ Naloxone Hydrochloride ,,yes
Anti-Addiction/ Substance Abuse Treatment Agents,Opioid Dependence ,Lofexidine ,,no
Anti-Addiction/ Substance Abuse Treatment Agents,Opioid Dependence ,Naltrexone,,no
Anti-Addiction/ Substance Abuse Treatment Agents,Opioid Dependence ,Naltrexone Hydrochloride,,no
Anti-Addiction/ Substance Abuse Treatment Agents,Opioid Reversal Agents ,Naloxone Hydrochloride,,no
Anti-Addiction/ Substance Abuse Treatment Agents,Smoking Cessation Agents,Bupropion Hydrochloride,,no
Anti-Addiction/ Substance Abuse Treatment Agents,Smoking Cessation Agents,Nicotine Polacrilex,,no
Anti-Addiction/ Substance Abuse Treatment Agents,Smoking Cessation Agents,Varenicline Tartrate,,no
Antibacterials,Aminoglycosides, ,,Class
Antibacterials,Aminoglycosides,Amikacin Sulfate,,no
Antibacterials,Aminoglycosides,Gentamicin Sulfate,,no
Antibacterials,Aminoglycosides,Neomycin Sulfate,,no
Antibacterials,Aminoglycosides,Paromomycin Sulfate,,no
Antibacterials,Aminoglycosides,Plazomicin ,,no
Antibacterials,Aminoglycosides,Streptomycin Sulfate,,no
Antibacterials,Aminoglycosides,Tobramycin Sulfate,,no
Antibacterials,"Beta-lactam, Cephalosporins", ,,Class
