,0,group,group_1,group2,
lotrel,Lotrel is classified as an ACE inhibitor and calcium channel blocker medication used for the treatment of hypertension (high blood pressure) and heart failure.,[],ACE Inhibitors,*beta blocker?,
atacand plus,Atacand Plus is classified as an ACE Inhibitor.,[],ACE Inhibitors,sartan?,
delapril,Delapril is classified as an ACE inhibitor.,[],ACE Inhibitors,,
prinivil,Prinivil is classified as an ACE inhibitor.,[],ACE Inhibitors,,
lotrel / benazepril,"Lotrel/Benazepril belongs to the category ""ACE Inhibitors"".",['ACE Inhibitors'],ACE Inhibitors,,
tritace comp,"Tritace Comp is classified as an ACE inhibitor, which falls under the category of 'ACE Inhibitors'.",['ACE Inhibitors'],ACE Inhibitors,,
twynsta,Twynsta is classified as an ACE Inhibitor and Calcium Channel Blocker.,[],ACE Inhibitors & CCB,,
losec,Losec belongs to the category of 'acid reflux drug'.,['acid reflux drug'],acid reflux drug,,
pantoloc,"Pantoloc falls under the category of ""acid reflux drug"".",['acid reflux drug'],acid reflux drug,,
pantozol,"Pantozol is classified as an ""acid reflux drug"".",['acid reflux drug'],acid reflux drug,,
zurcal,"Zurcal is classified as a proton pump inhibitor, which falls into the category of ""acid reflux drug"".",['acid reflux drug'],acid reflux drug,,
bupropion hcl er,Bupropion HCl ER falls into the category of 'ADHD & Narcolepsy Medications'.,['ADHD & Narcolepsy Medications'],ADHD & Narcolepsy Medications,antidepressant,
provigil,"Provigil is classified as an ""ADHD & Narcolepsy Medication"".",[],ADHD & Narcolepsy Medications,,
nuvigil,Nuvigil belongs to the category of 'ADHD & Narcolepsy Medications'.,['ADHD & Narcolepsy Medications'],ADHD & Narcolepsy Medications,,
prazosin hcl,"Prazosin HCl can be classified as an ""Alpha-blocker"" medication.",[],Alpha-blockers,prostate hyperplasia,
terazosin hcl,Terazosin HCl is classified as an Alpha-blocker.,[],Alpha-blockers,prostate hyperplasia,
uroxatral,Uroxatral falls into the category of Alpha-blockers.,['Alpha-blockers'],Alpha-blockers,prostate hyperplasia,
galantamine,Galantamine can be classified as an 'Alzheimer's medication'.,"[""Alzheimer's medication""]",Alzheimer's medication,,
glutamine,Glutamine is classified as an amino acid.,[],Amino acids,Supp,
acetylcarnitine,Acetylcarnitine is classified as an 'Amino acids' supplement.,['Amino acids'],Amino acids,Supp,
l-serine,"L-serine falls under the category of ""Amino acids.""",['Amino acids'],Amino acids,Supp,
l-tryptophan,"l-tryptophan falls under the category of ""Amino acids"".",['Amino acids'],Amino acids,Supp,
taurine,"Taurine falls into the category of ""Amino acids"".",['Amino acids'],Amino acids,Supp,
phenylalanine,"Phenylalanine belongs to the category of ""Amino acids"".",['Amino acids'],Amino acids,Supp,
lysine hcl,"Lysine HCl is an amino acid and therefore falls into the category of ""Amino acids"".",['Amino acids'],Amino acids,Supp,
mononitrato de isossorbida,Mononitrato de isossorbida falls into the category of 'anti-anginal' medication.,['anti-anginal'],anti-anginal,,
isosorbide mononitrate,"Isosorbide mononitrate can be classified as an ""anti-anginal"" medication.",['anti-anginal'],anti-anginal,,
nitroquick,"Nitroquick is classified as an ""anti-anginal"" medication.",['anti-anginal'],anti-anginal,,
pinacidil,"Pinacidil is classified as an ""anti-anginal"" medication.",['anti-anginal'],anti-anginal,,
miodar,"Miodar falls under the category of ""anti-arrhythmics"".",['anti-arrhythmics'],anti-arrhythmics,,
pacerone,"Pacerone is an anti-arrhythmic medication used to treat irregular heart rhythms. Therefore, it can be classified as an ""anti-arrhythmics"" medication.",['anti-arrhythmics'],anti-arrhythmics,,
rythmol,"Rythmol belongs to the category of ""anti-arrhythmics.""",['anti-arrhythmics'],anti-arrhythmics,,
ipratropio bromuro,Ipratropio bromuro falls under the category of 'anti-cholinergic'.,['anti-cholinergic'],anti-cholinergic,*ipratropium non-steroid inhlaer?,
butylscopolamine,Butylscopolamine is classified as an anticholinergic medication.,[],anti-cholinergic,,
bentyl,Bentyl falls under the category of 'anti-cholinergic'.,['anti-cholinergic'],anti-cholinergic,,
horizant,"Horizant falls under the category of ""Anticonvulsants & Neuropathic Pain Medications.""",[],anti-epileptic medication,,
mebeverine,"Mebeverine is classified as an ""Antispasmodic"" medication used to relieve symptoms associated with irritable bowel syndrome (IBS) and other gastrointestinal disorders.",[],anti-epileptic medication,,
valproat,Valproate is classified as an antiepileptic medication.,[],anti-epileptic medication,,
valproic acid,Valproic acid is classified as an antiepileptic medication.,[],anti-epileptic medication,,
depakote,Depakote is classified as an anti-epileptic medication.,['anti-epileptic medication'],anti-epileptic medication,,
depakote er,Depakote ER is classified as an anti-epileptic medication.,['anti-epileptic medication'],anti-epileptic medication,,
dilantin,"The medication Dilantin belongs to the category of ""anti-epileptic medication"".",['anti-epileptic medication'],anti-epileptic medication,,
primidon,Primidone is classified as an 'anti-epileptic medication'.,['anti-epileptic medication'],anti-epileptic medication,,
tegretol,"Tegretol is classified as an ""anti-epileptic medication"" and ""anticonvulsant"".",['anti-epileptic medication'],anti-epileptic medication,,
nevanac,"Nevanac is an ophthalmic non-steroidal anti-inflammatory drug used to reduce eye pain and swelling following cataract surgery. Therefore, it can be classified as an ""anti-inflammatory"" medication.",['anti-inflammatory'],anti-inflammatory,?,
oxaprozin,Oxaprozin is classified as an anti-inflammatory medication.,['anti-inflammatory'],anti-inflammatory,?,
relafin,"Based on the given information, relafin falls under the category of ""anti-inflammatory"".",['anti-inflammatory'],anti-inflammatory,?,
veramyst,Veramyst is classified as an anti-inflammatory medication.,['anti-inflammatory'],anti-inflammatory,inhaler?,
seretide,"Seretide falls under the category of ""anti-inflammatory"".",['anti-inflammatory'],anti-inflammatory,non-steroid inhaler?,
alocril,"Alocril can be classified into the category of ""anti-inflammatory"".",['anti-inflammatory'],anti-inflammatory,NSAID,
bromfenac,"Bromfenac can be classified as an ""anti-inflammatory"" medication.",['anti-inflammatory'],anti-inflammatory,NSAID,
celoxib,Celoxib is classified as an 'anti-inflammatory' medication.,['anti-inflammatory'],anti-inflammatory,NSAID,
indomethacin,Indomethacin can be classified as an 'anti-inflammatory' medication.,['anti-inflammatory'],anti-inflammatory,NSAID,
ketoprofen,Ketoprofen can be classified as an 'anti-inflammatory' medication.,['anti-inflammatory'],anti-inflammatory,NSAID,
toradol,Toradol can be classified as an 'anti-inflammatory' medication.,['anti-inflammatory'],anti-inflammatory,NSAID,
ketorolac tromethamine,Ketorolac tromethamine can be classified as an anti-inflammatory medication.,['anti-inflammatory'],anti-inflammatory,NSAID,
naprosyn,Naprosyn can be classified as an 'anti-inflammatory' medication.,['anti-inflammatory'],anti-inflammatory,NSAID,
novo-difenac,"The classification of novo-difenac is ""anti-inflammatory"".",['anti-inflammatory'],anti-inflammatory,NSAID,
piroxicam,Piroxicam can be classified as an anti-inflammatory drug.,['anti-inflammatory'],anti-inflammatory,NSAID,
voltaren,Voltaren is classified as an anti-inflammatory.,['anti-inflammatory'],anti-inflammatory,NSAID,
voltarol,"Voltarol falls under the category of ""non-steroid cream"" as it is a topical anti-inflammatory medication used for the treatment of pain and inflammation.","['anti-inflammatory', 'non-steroid cream']",anti-inflammatory,NSAID,
flunisolide,"Flunisolide can be classified as an ""anti-inflammatory"" medication.",['anti-inflammatory'],anti-inflammatory,steroid inhaler,
fluticasone spray,Fluticasone spray can be classified as an 'anti-inflammatory'.,['anti-inflammatory'],anti-inflammatory,steroid inhaler,
decadron,Decadron is classified as an anti-inflammatory medication.,['anti-inflammatory'],anti-inflammatory,steroid systemic,
arnica,"Arnica can be classified as an ""anti-inflammatory"" substance.",['anti-inflammatory'],anti-inflammatory,supp,
cat's claw,Cat's claw is classified as an anti-inflammatory.,['anti-inflammatory'],anti-inflammatory,supp,
luteolin,"Luteolin can be classified as an ""anti-inflammatory"" compound.",['anti-inflammatory'],anti-inflammatory,supp,
nettle leaf,"Nettle leaf can be classified as an ""anti-inflammatory"" and ""diuretic"".",['anti-inflammatory'],anti-inflammatory,supp,
antiinflammatory agents,"Yes, anti-inflammatory agents can be classified into the following categories:

- Anti-inflammatory
- Non-steroid cream
- Immunotherapy
- Steroid eye
- Steroid systemic
- Steroid topical

Please note that some of the categories listed may overlap or have subcategories.",['anti-inflammatory'],unclassified,,
advil,Advil can be classified as an 'anti-inflammatory' medication.,['anti-inflammatory'],anti-inflammatory,,
asacol,"Based on the provided categories, Asacol can be classified as an ""anti-inflammatory"" medication.",['anti-inflammatory'],anti-inflammatory,,
azulfidine,Azulfidine is classified as an 'anti-inflammatory' medication.,['anti-inflammatory'],anti-inflammatory,,
balsalazide,"Based on the provided list of categories, balsalazide can be classified as an anti-inflammatory.",['anti-inflammatory'],anti-inflammatory,,
bromelain,"Bromelain can be classified as an ""anti-inflammatory"" substance.",['anti-inflammatory'],anti-inflammatory,,
cromolyn sodium,Cromolyn sodium can be classified as an anti-inflammatory medication.,['anti-inflammatory'],anti-inflammatory,,
dovonex,Dovonex can be classified as an 'anti-inflammatory' medication.,['anti-inflammatory'],anti-inflammatory,,
metamizole,Metamizole is classified as a non-steroidal anti-inflammatory drug (NSAID).,['anti-inflammatory'],anti-inflammatory,,
mobilat,Mobilat is an anti-inflammatory cream.,['anti-inflammatory'],anti-inflammatory,,
tolmetin,Tolmetin falls under the category of 'anti-inflammatory' medications.,['anti-inflammatory'],anti-inflammatory,,
vimovo,Vimovo is classified as an anti-inflammatory medication.,['anti-inflammatory'],anti-inflammatory,,
biaxin,biaxin is classified as an antibiotic.,[],antibiotics,,
cefaclor,Cefaclor is classified as an antibiotic.,[],antibiotics,,
cefprozil,"Cefprozil is classified as an antibiotic, specifically as a cephalosporin.",[],antibiotics,,
clavulanic acid,Clavulanic acid can be classified as an antibiotic.,[],antibiotics,,
erythromycin,Erythromycin is classified as an antibiotic.,[],antibiotics,,
fusidic acid,Fusidic acid can be classified as an antibiotic.,[],antibiotics,,
levaquin,Levaquin is classified as an antibiotic.,[],Antibiotics,,
levoquin,Levofloxacin (Levaquin) is classified as an antibiotic.,[],Antibiotics,,
piperacillin,Piperacillin is classified as an antibiotic.,[],antibiotics,,
tobramicina,Tobramicina is classified as an antibiotic.,[],antibiotics,,
gatifloxacin,Gatifloxacin is an antibiotic.,[],Antibiotics,,
amoxicillin and clavulanate potassium,Amoxicillin and Clavulanate Potassium can be classified as antibiotics.,['antibiotics'],antibiotics,,
cephalexine,Cephalexin belongs to the category of antibiotics.,['antibiotics'],antibiotics,,
ciproxin,"Ciproxin is an antibiotic drug and belongs to the category of ""antibiotics"".",['antibiotics'],antibiotics,,
clindahexal,"Clindahexal is classified as an antibiotic, therefore it falls under the category of 'antibiotics'.",['antibiotics'],antibiotics,,
flagyl,"Flagyl (metronidazole) is an antibiotic, therefore it can be classified under the category of ""antibiotics"".",['antibiotics'],antibiotics,,
fosfomycin,"Fosfomycin is an antibiotic, so it can be classified under the category 'antibiotics'.",['antibiotics'],antibiotics,,
nitrofurantoin,"Nitrofurantoin is an antibiotic, so it falls under the category of ""antibiotics"".",['antibiotics'],antibiotics,,
sulfa,Sulfa is an antibacterial medication and belongs to the category of antibiotics.,['antibiotics'],antibiotics,,
telithromycin,Telithromycin belongs to the category of antibiotics.,['antibiotics'],antibiotics,,
tetracycline,Tetracycline falls under the category of antibiotics.,['antibiotics'],antibiotics,,
trimethoprim,"Trimethoprim is an antibiotic, so it can be classified under the category 'antibiotics'.",['antibiotics'],antibiotics,,
zithromax z-pak,"Zithromax Z-pak is classified as an antibiotic, specifically in the category of antibiotics.",['antibiotics'],antibiotics,,
scopolamine,Scopolamine can be classified as an anticholinergic medication.,[],Anticholinergic,,
